measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,239.76579284667969,77.204750061035156,-1.0660376574378461e-05,1.5707688331604004,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,239.6748046875,77.215904235839844,-0.0020371170248836279,1.5708101987838745,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,239.59196472167969,77.194007873535156,-0.0017428484279662371,1.5714176893234253,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,239.58900451660156,77.204193115234375,-0.0018167269881814718,1.5720438957214355,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,239.55462646484375,77.210075378417969,-0.0020833087619394064,1.570380687713623,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,239.40190124511719,77.189216613769531,-0.0025550308637320995,1.5711501836776733,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,239.36318969726562,77.119064331054688,-0.0022214569617062807,1.5711555480957031,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,239.39570617675781,77.1187744140625,-0.0015797505620867014,1.5709779262542725,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,239.39248657226562,77.161628723144531,-0.00090514612384140491,1.5709338188171387,0,0.0025000001769512892,0.0025000001769512892,0,0,0
