particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
0,255,20,64.36041259765625,-26.478273391723633,0,0.9998205304145813,-0.00017097176169045269,0.00021366018336266279,0,0,0,0,0,0
0,511,40,64.356964111328125,-26.474020004272461,0,0.9996335506439209,-0.0011225726921111345,0.0010417030425742269,0,0,0,0,0,0
0,767,60,64.334381103515625,-26.453313827514648,0,0.99946814775466919,-0.0010288821067661047,0.0012571851257234812,0,0,0,0,0,0
0,1023,80,64.313644409179688,-26.428281784057617,0,0.9990198016166687,-0.0005472953780554235,0.00083253189222887158,0,0,0,0,0,0
0,1279,100,64.302589416503906,-26.411680221557617,0,0.99888885021209717,-0.0014660939341410995,0.0024654497392475605,0,0,0,0,0,0
0,1535,120,64.272941589355469,-26.362493515014648,0,0.99875742197036743,-0.0021773779299110174,0.0024544131010770798,0,0,0,0,0,0
0,1791,140,64.229042053222656,-26.313606262207031,0,0.99840062856674194,-0.0019071345450356603,0.0024577006697654724,0,0,0,0,0,0
0,2047,160,64.190544128417969,-26.264604568481445,0,0.99822402000427246,-0.0036451383493840694,0.0029953925404697657,0,0,0,0,0,0
0,2303,180,64.117149353027344,-26.20503044128418,0,0.99810159206390381,-0.0038040094077587128,0.0037178618367761374,0,0,0,0,0,0
