measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,122.84021759033203,-108.81156158447266,-0.00079848943278193474,1.5706493854522705,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,122.78651428222656,-108.82244873046875,-0.00032774824649095535,1.5707149505615234,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,122.78522491455078,-108.8341064453125,-0.00036042678402736783,1.5709044933319092,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,122.76963043212891,-108.85735321044922,-0.00094768794951960444,1.5704909563064575,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,122.834228515625,-108.79350280761719,0.00026866729604080319,1.5710945129394531,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,122.75896453857422,-108.77497100830078,0.00066110165789723396,1.5708479881286621,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,122.86962127685547,-108.82952880859375,0.00065900682238861918,1.5713850259780884,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,122.90642547607422,-108.81092071533203,0.0020784984808415174,1.5717239379882812,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,122.90972900390625,-108.83441162109375,0.0015823548892512918,1.5736656188964844,0,0.0025000001769512892,0.0025000001769512892,0,0,0
