measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,179.70053100585938,158.2733154296875,-9.2443937319330871e-05,1.5708523988723755,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,179.68934631347656,158.39346313476562,0.00074768345803022385,1.5712192058563232,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,179.61285400390625,158.33908081054688,0.00048901862464845181,1.5710301399230957,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,179.6849365234375,158.26359558105469,0.00056173262419179082,1.5713145732879639,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,179.71269226074219,158.33821105957031,0.0005118289845995605,1.5725359916687012,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,179.67575073242188,158.42010498046875,0.00047758722212165594,1.571467399597168,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,179.63374328613281,158.35240173339844,0.0019765144679695368,1.5713673830032349,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,179.73597717285156,158.29110717773438,0.0033629043027758598,1.57103431224823,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,179.72007751464844,158.24543762207031,0.0032904266845434904,1.5704481601715088,0,0.0025000001769512892,0.0025000001769512892,0,0,0
