measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,-94.278427124023438,-348.38803100585938,-0.00047095498302951455,1.5709576606750488,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,-94.218635559082031,-348.5518798828125,-0.00041019992204383016,1.5706263780593872,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,-94.242813110351562,-348.493896484375,-0.0017579019768163562,1.5695273876190186,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,-94.348976135253906,-348.44403076171875,-0.0019039766630157828,1.5701243877410889,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,-94.349365234375,-348.49053955078125,-0.0018223575316369534,1.5699855089187622,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,-94.383590698242188,-348.472900390625,-0.0023664783220738173,1.5693508386611938,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,-94.44976806640625,-348.30642700195312,-0.0024753620382398367,1.5698692798614502,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,-94.481956481933594,-348.35641479492188,-0.0034909651149064302,1.5700703859329224,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,-94.635543823242188,-348.38626098632812,-0.002647090470418334,1.5688779354095459,0,0.0025000001769512892,0.0025000001769512892,0,0,0
