measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,142.36470031738281,509.23416137695312,-0.00075996300438418984,1.5700311660766602,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,142.42413330078125,509.22024536132812,-1.039507333189249e-05,1.5711879730224609,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,142.36187744140625,509.20394897460938,-0.00021187843231018633,1.5706667900085449,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,142.38941955566406,509.16839599609375,-0.0006797374808229506,1.5696280002593994,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,142.38328552246094,509.2884521484375,-0.0008227428188547492,1.5714077949523926,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,142.34678649902344,509.25140380859375,-0.00045299957855604589,1.5713962316513062,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,142.37992858886719,509.27212524414062,-0.00036511389771476388,1.5713988542556763,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,142.33010864257812,509.1728515625,-0.0011727309320122004,1.573567271232605,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,142.31974792480469,509.1683349609375,-0.0016659378306940198,1.5748250484466553,0,0.0025000001769512892,0.0025000001769512892,0,0,0
