measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,-75.817588806152344,70.853073120117188,-7.9332450695801526e-05,1.5709648132324219,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,-75.82635498046875,70.878280639648438,-0.00065377034479752183,1.5707464218139648,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,-75.851661682128906,70.852012634277344,-0.00036418318632058799,1.5707743167877197,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,-75.902183532714844,70.945045471191406,-0.00074178446084260941,1.5705497264862061,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,-75.879722595214844,70.964851379394531,-0.00020365990349091589,1.5697755813598633,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,-75.987655639648438,70.856643676757812,-0.00056323438184335828,1.5698902606964111,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,-75.959991455078125,70.973457336425781,-0.0010979073122143745,1.5695642232894897,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,-75.879234313964844,71.035392761230469,-0.0011151876533403993,1.5695786476135254,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,-75.929763793945312,71.075325012207031,0.00035945451236329973,1.570568323135376,0,0.0025000001769512892,0.0025000001769512892,0,0,0
