measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,-75.265007019042969,-53.952362060546875,-0.0012885024771094322,1.5703701972961426,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,-75.29425048828125,-53.966346740722656,-0.0017166134202852845,1.5696203708648682,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,-75.281639099121094,-53.898529052734375,-0.0019233872881159186,1.56984543800354,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,-75.351547241210938,-53.958698272705078,-0.0016671837074682117,1.5700665712356567,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,-75.289077758789062,-53.907951354980469,-0.0025046225637197495,1.5700093507766724,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,-75.48419189453125,-53.956630706787109,-0.0024983678013086319,1.5700329542160034,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,-75.562156677246094,-53.929012298583984,-0.0026486529968678951,1.5696390867233276,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,-75.512451171875,-53.893119812011719,-0.0022094803862273693,1.5702183246612549,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,-75.527748107910156,-53.863391876220703,-0.0027003292925655842,1.5696104764938354,0,0.0025000001769512892,0.0025000001769512892,0,0,0
