measurement_id,geometry_id,local_key,local0,local1,phi,theta,time,var_local0,var_local1,var_phi,var_theta,var_time
0,255,unknown,244.7896728515625,-13.840213775634766,-0.0010448427638038993,1.569373607635498,0,0.0025000001769512892,0.0025000001769512892,0,0,0
1,511,unknown,244.85469055175781,-13.861842155456543,-0.0021262757945805788,1.56805419921875,0,0.0025000001769512892,0.0025000001769512892,0,0,0
2,767,unknown,244.7532958984375,-13.806045532226562,-0.0017450059531256557,1.5673553943634033,0,0.0025000001769512892,0.0025000001769512892,0,0,0
3,1023,unknown,244.67471313476562,-13.696026802062988,-0.00094681169139221311,1.5663183927536011,0,0.0025000001769512892,0.0025000001769512892,0,0,0
4,1279,unknown,244.68743896484375,-13.61688232421875,0.00042033064528368413,1.5652705430984497,0,0.0025000001769512892,0.0025000001769512892,0,0,0
5,1535,unknown,244.69636535644531,-13.562995910644531,-0.0004080863727722317,1.5641516447067261,0,0.0025000001769512892,0.0025000001769512892,0,0,0
6,1791,unknown,244.64131164550781,-13.408077239990234,0.00047692333464510739,1.5652323961257935,0,0.0025000001769512892,0.0025000001769512892,0,0,0
7,2047,unknown,244.64019775390625,-13.245212554931641,-0.00061426701722666621,1.5640122890472412,0,0.0025000001769512892,0.0025000001769512892,0,0,0
8,2303,unknown,244.70564270019531,-13.23378849029541,-0.00056792068062350154,1.5636017322540283,0,0.0025000001769512892,0.0025000001769512892,0,0,0
