particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
0,255,20,-358.12387084960938,-79.187469482421875,0,0.99984931945800781,0.0011459032539278269,0.00073286442784592509,0,0,0,0,0,0
0,511,40,-358.10104370117188,-79.172676086425781,0,0.99971681833267212,0.0012001680443063378,0.00068247516173869371,0,0,0,0,0,0
0,767,60,-358.07711791992188,-79.158882141113281,0,0.99947088956832886,0.0015976316062733531,0.00028566931723617017,0,0,0,0,0,0
0,1023,80,-358.04519653320312,-79.152976989746094,0,0.99925845861434937,0.0025659860111773014,-0.0017142005963250995,0,0,0,0,0,0
0,1279,100,-357.99362182617188,-79.186981201171875,0,0.99901735782623291,0.0034645628184080124,-0.001846104278229177,0,0,0,0,0,0
0,1535,120,-357.92404174804688,-79.223526000976562,0,0.99882274866104126,0.0028963333461433649,-0.0018041859148070216,0,0,0,0,0,0
0,1791,140,-357.8658447265625,-79.259300231933594,0,0.99868917465209961,0.0043725860305130482,-0.0042898301035165787,0,0,0,0,0,0
0,2047,160,-357.77777099609375,-79.344680786132812,0,0.99841666221618652,0.0049486905336380005,-0.0043559195473790169,0,0,0,0,0,0
0,2303,180,-357.67813110351562,-79.431343078613281,0,0.99827933311462402,0.0050010029226541519,-0.0057430826127529144,0,0,0,0,0,0
